place,county,Per capita income,median household income,population,number of households,reclat,reclong
Kapalua,Maui County,"$75,992.00",57292,467,186,20.999722,-156.658051
Puako,Hawaii County,"$63,857.00",60250,429,215,19.94331,-155.854996
Ka'anapali,Maui County,"$48,506.00",79288,"1,375",537,20.922689,-156.692963
Ma'alaea,Maui County,"$43,571.00",53750,454,263,20.81031,-156.50505
Princeville,Kauai County,"$37,971.00",63833,"1,698",752,22.2219,-159.48281
Kalihiwai,Kauai County,"$37,062.00",42083,717,280,22.21318,-159.42522
Poipu,Kauai County,"$35,800.00",51442,"1,075",472,21.876711,-159.464111
He'eia,Honolulu County,"$33,990.00",87528,"4,944","1,557",21.16225,-157.00368
Kahaluu-Keauhou,Hawaii County,"$33,067.00",52522,"2,414","1,000",19.56887,-155.9618
Maunawili,Honolulu County,"$30,551.00",82148,"4,869","1,458",21.37043,-157.76819
Kailua,Honolulu County,"$29,299.00",72784,"36,513","12,229",21.402222,-157.739441
Kawela Bay,Honolulu County,"$28,481.00",49167,410,189,21.69966,-157.99466
Waimalu,Honolulu County,"$25,913.00",61210,"29,371","10,524",21.39221,-157.93918
Pupukea,Honolulu County,"$25,682.00",56146,"4,250","1,455",21.66814,-158.04659
Ahuimanu,Honolulu County,"$25,381.00",71732,"8,506","2,591",21.44321,-157.83275
Holualoa,Hawaii County,"$25,222.00",50492,"6,107","2,383",19.62823,-155.94885
Aiea,Honolulu County,"$25,111.00",71155,"9,019","2,758",21.379009,-157.930908
Napili-Honokowai,Maui County,"$24,814.00",51030,"6,788","2,629",20.98505,-156.66582
Mokule'ia,Honolulu County,"$24,643.00",57917,"1,839",709,21.5779,-158.15834
Waikapu,Maui County,"$24,564.00",62813,"1,115",347,20.85493,-156.50354
Waipio,Honolulu County,"$24,451.00",61276,"11,672","3,974",21.41087,-157.99918
Mililani Town,Honolulu County,"$24,427.00",73067,"28,608","9,010",21.45133,-158.015274
Honolulu Hawaii,Honolulu County,"$24,191.00",45112,"371,657","140,337",21.306944,-157.858337
Kalaoa,Hawaii County,"$24,179.00",53024,"6,794","2,402",19.72516,-156.02982
Wailua Homesteads,Kauai County,"$23,675.00",48047,"4,567","1,655",22.05436,-159.37274
Pukalani,Maui County,"$23,662.00",62778,"7,380","2,439",20.83788,-156.33932
Kalaheo,Kauai County,"$23,501.00",57813,"3,913","1,428",21.92562,-159.52728
Kane'ohe,Honolulu County,"$23,476.00",66006,"34,970","10,976",21.4182,-157.802
Haiku-Pauwela,Maui County,"$21,702.00",45397,"6,578","2,310",20.91968,-156.299774
Kalaeloa,Honolulu County,"$21,083.00",65625,67,16,21.32367,-158.08062
Lawai,Kauai County,"$22,884.00",55662,"1,984",711,21.91802,-159.49791
Lihue,Kauai County,"$22,619.00",44906,"5,674","2,178",21.96758,-159.35796
Pauka'a,Hawaii County,"$22,246.00",40804,495,196,19.76213,-155.09102
Kahalu'u,Honolulu County,"$22,204.00",61098,"2,935",927,21.45983,-157.84123
Ka'a'awa,Honolulu County,"$21,881.00",54500,"1,324",469,19.94153,-155.85659
Halawa,Honolulu County,"$21,868.00",68519,"13,891","4,142",21.36745,-157.92527
Ewa Gentry,Honolulu County,"$21,833.00",61462,"4,939","1,734",21.3393,-158.03046
Pearl City,Honolulu County,"$21,683.00",62036,"30,976","8,921",21.3982,-157.9684
Kihei,Maui County,"$21,591.00",46215,"16,749","6,170",20.764427,-156.445007
Kealakekua,Hawaii County,"$21,495.00",38026,"1,645",639,19.52096,-155.92051
Waikoloa Village,Hawaii County,"$21,328.00",50040,"4,806","1,750",19.9335,-155.788162
Hanalei,Kauai County,"$21,241.00",34375,478,193,22.20315,-159.495651
Captain Cook,Hawaii County,"$21,237.00",47644,"3,206","1,152",19.49444,-155.91468
Barbers Point Housing,Honolulu County,"$21,083.00",65625,67,16,21.31997,-158.04773
Makakilo,Honolulu County,"$20,945.00",66515,"13,156","3,898",21.35056,-158.08886
Waimea,Hawaii County,"$20,773.00",51150,"7,028","2,371",20.02224,-155.67393
Kailua-Kona,Hawaii County,"$20,624.00",40875,"9,870","3,537",19.64737,-155.99301
Wailuku,Maui County,"$20,503.00",45587,"12,296","4,535",20.88694,-156.50482
Wailua,Kauai County,"$20,231.00",45875,"2,083",781,22.057659,-159.339767
Omao,Kauai County,"$20,175.00",53750,"1,221",392,21.92645,-159.4854
Honaunau-Napo'opo'o,Hawaii County,"$20,025.00",41912,"2,414",846,19.4501,-155.879791
Lahaina,Maui County,"$19,921.00",52984,"9,118","2,599",20.878332,-156.682495
Village Park,Honolulu County,"$19,579.00",70302,"9,625","2,628",21.39284,-158.02768
Wainaku,Hawaii County,"$19,296.00",42292,"1,227",422,19.74139,-155.09195
Waipio Acres,Honolulu Acres,"$19,251.00",49594,"5,298","1,823",21.46659,-158.01055
Kilauea,Kauai County,"$19,184.00",41313,"2,092",692,22.2078,-159.412125
Punalu'u,Honolulu County,"$19,067.00",32143,881,305,21.58605,-157.88765
Volcano,Hawaii County,"$18,913.00",35977,"2,231",896,19.42659,-155.23324
Waimea,Kauai County,"$18,778.00",44398,"1,787",620,21.95961,-159.67527
Makawao,Maui County,"$18,776.00",46681,"6,327","2,151",20.84822,-156.31812
Lanai City,Maui County,"$18,668.00",43271,"3,164","1,148",20.82535,-156.91831
Paia,Maui County,"$18,644.00",51696,"2,499",783,20.91607,-156.38125
Hilo,Hawaii County,"$18,220.00",39139,"40,759","14,577",19.724112,-155.086823
Kahului,Maui County,"$18,049.00",46656,"20,146","5,880",20.889336,-156.472946
Waihee-Waiehu,Maui County,"$18,008.00",63236,"7,310","1,864",20.9064,-156.49812
Honalo,Hawaii County,"$17,584.00",43125,"1,987",717,19.54539,-155.93099
Honoka'a,Hawaii County,"$17,226.00",41964,"2,233",761,20.077709,-155.464508
Waialua,Honolulu County,"$17,220.00",46763,"3,761","1,128",21.57317,-158.122833
Kapaau,Hawaii County,"$17,131.00",45764,"1,159",405,20.23344,-155.80997
Kekaha,Kauai County,"$17,117.00",41103,"3,175","1,073",21.96661,-159.71361
Hanapepe,Kauai County,"$17,043.00",44112,"2,153",706,21.90848,-159.59271
Kapaa,Kauai County,"$16,878.00",39448,"9,472","3,129",22.076139,-159.318253
Hawi,Hawaii County,"$16,755.00",46406,938,298,20.23802,-155.83052
Haliimaile,Maui County,"$16,638.00",49167,895,254,20.871,-156.33651
Kurtistown,Hawaii County,"$16,528.00",46012,"1,157",405,19.59655,-155.05547
Haleiwa,Honolulu County,"$16,504.00",39643,"2,225",770,21.592991,-158.103424
Wahiawa,Honolulu County,"$16,366.00",41257,"16,151","5,376",21.49593,-158.0298
Hawaiian Acres,Hawaii County,"$16,242.00",30039,"1,776",698,19.53567,-155.05592
Hanamaulu,Kauai County,"$16,233.00",48239,"3,272",902,21.99432,-159.35514
Koloa,Kauai County,"$16,224.00",34786,"1,942",693,21.90423,-159.46533
Puhi,Kauai County,"$16,175.00",51563,"1,186",285,21.96521,-159.39352
Waimanalo Beach,Honolulu County,"$16,089.00",55781,"4,271","1,007",21.336781,-157.701004
Eleele,Kauai County,"$15,873.00",46705,"2,040",626,21.906651,-159.580994
Kukuihaele,Hawaii County,"$15,623.00",38750,317,106,20.11823,-155.57373
"North Koolaupoko (Waiahole, Waikane)",Honolulu County,"$15,592.00",55179,726,188,21.42115,-157.7482
Leilani Estates,Hawaii County,"$15,522.00",31541,"1,046",415,19.46403,-154.90897
Hawaiian Paradise Park,Hawai County,"$15,417.00",36300,"7,051","2,426",19.57313,-154.97549
Kualapu'u,Maui County,"$15,373.00",37422,"1,936",564,21.16185,-157.04706
Hawaiian Ocean View,Hawaii County,"$15,218.00",26125,"2,178",941,19.07688,-155.75259
Honomu,Hawaii County,"$15,190.00",30179,541,193,19.87503,-155.11107
Hickam Air Force Base,Honolulu County,"$15,039.00",42298,"5,471","1,632",21.32828,-157.96223
Fern Forest,Hawaii County,"$14,958.00",24519,480,222,19.46798,-155.13575
'Ewa Beach,Honolulu County,"$14,807.00",57073,"14,650","3,305",21.31234,-158.004807
Hana,Maui County,"$14,672.00",50833,709,191,20.7502,-155.986725
Keaau,Hawaii County,"$14,657.00",39722,"2,010",608,19.61865,-155.03716
Waipahu,Honolulu County,"$14,484.00",49444,"33,108","7,566",21.38385,-158.007645
Whitmore Village,Honolulu County,"$14,315.00",52308,"4,057",940,21.51053,-158.02191
Makaha,Honolulu County,"$14,267.00",35674,"7,753","2,388",21.468,-158.214996
Kaunakakai,Maui County,"$14,201.00",34492,"2,726",867,21.08938,-157.022446
Kaumakani,Kauai County,"$14,024.00",34583,607,207,21.92001,-159.62408
Halaula,Hawaii County,"$13,882.00",47250,495,149,20.22771,-155.78238
Anahola,Kauai County,"$13,829.00",41771,"1,932",549,22.13868,-159.306
La'ie,Honolulu County,"$13,785.00",50875,"4,585",903,21.65041,-157.92485
Papaikou,Hawaii County,"$13,782.00",37031,"1,414",475,19.79141,-155.09457
Orchidlands Estates,Hawaii County,"$13,748.00",27083,"1,731",587,19.55164,-154.98779
Paauilo,Hawaii County,"$13,477.00",34659,571,191,20.03909,-155.3679
Waianae,Honolulu County,"$13,348.00",46717,"10,506","2,595",21.446911,-158.188736
Iroquois Point,Honolulu County,"$13,257.00",44200,"2,462",675,21.32466,-157.98465
Mountain View,Hawaii County,"$13,229.00",26860,"2,799",959,19.55276,-155.10531
Mo'ili,Honolulu County,"$13,185.00",45786,"5,943","1,359",21.41545,-158.17685
Pepeekeo,Hawaii County,"$13,037.00",27946,"1,697",623,19.83042,-155.10405
Marine Corps Base Hawaii,Honolulu County,"$12,983.00",34757,"11,827","2,332",21.44218,-157.749596
Ewa Villages,Honolulu County,"$12,883.00",51451,"4,741","1,178",21.33935,-158.03901
Hauula,Honolulu County,"$12,684.00",38190,"3,651",891,21.606979,-157.906204
Pahoa,Hawaii County,"$13,850.00",33333,962,314,19.49152,-154.940811
Waimanalo,Honolulu County,"$12,493.00",47594,"3,664",849,21.35,-157.72084
Wheeler Army Airfield,Honolulu County,"$12,364.00",32485,"2,829",739,21.48228,-158.04515
Kahuku,Honolulu County,"$12,340.00",39135,"2,097",509,21.67767,-157.95214
Schofield Barracks,Honolulu County,"$12,316.00",33788,"14,428","2,965",21.49215,-158.05212
Makaha Valley,Honolulu County,"$12,215.00",27446,"1,289",426,21.47746,-158.19829
Laupahoehoe,Hawaii County,"$11,896.00",29250,473,178,19.98448,-155.23342
Fern Acres,Hawaii County,"$11,876.00",31250,756,267,19.5113,-155.07586
Na'olehu,Hawaii County,"$11,755.00",31750,919,290,19.0612,-155.58353
Nanakule,Honolulu County,"$11,690.00",45352,"10,814","2,324",21.39666,-158.16333
Nanawale Estates,Hawaii County,"$11,524.00",35703,"1,073",356,19.50001,-154.91053
Pahala,Hawaii County,"$11,450.00",30243,"1,378",443,19.19996,-155.47723
Hawaiian Beaches,Hawaii County,"$11,267.00",28467,"3,709","1,192",19.5418,-154.90731
Ainaloa,Hawaii County,"$11,109.00",25698,"1,910",632,19.52029,-154.98678
Eden Roc,Hawaii County,"$9,902.00",15658,451,186,19.49819,-155.10026
Pakala Village,Kauai County,"$9,846.00",24464,478,150,21.94485,-159.64957
Maunaloa,Maui County,"$9,032.00",22232,230,65,21.133,-157.21156
